t,x,y,vd,xyd,nd,d,st
49,957.793,1131.31,0.311331,0.31133,6,6.20575,0
49,958.103,1131.35,0.311983,0.311983,6,6.20528,0
49,958.414,1131.38,0.312635,0.312635,6,6.20445,0
49,958.725,1131.42,0.313287,0.313287,6,6.20327,0
49,959.037,1131.45,0.313939,0.313939,6,6.20171,0
50,959.35,1131.49,0.314585,0.314585,6,6.2011,0
50,959.663,1131.52,0.315218,0.315218,6,5.48081,0
50,959.977,1131.56,0.315851,0.315851,6,5.51591,0
50,960.291,1131.59,0.316484,0.316483,6,5.55066,0
50,960.606,1131.63,0.317117,0.317117,6,5.58507,0
51,960.921,1131.67,0.31775,0.31775,6,5.61914,0
51,961.238,1131.71,0.31857,0.31857,6,5.65185,0
51,961.554,1131.75,0.319187,0.319187,6,5.68462,0
51,961.872,1131.79,0.319804,0.319804,6,5.71704,0
51,962.19,1131.83,0.32042,0.32042,6,5.74912,0
51,962.508,1131.87,0.321037,0.321037,6,5.78083,0
52,962.827,1131.91,0.321605,0.321605,6,5.81154,0
52,963.146,1131.95,0.322204,0.322204,6,5.84202,0
52,963.466,1131.99,0.322803,0.322803,6,5.87212,0
52,963.787,1132.04,0.323402,0.323402,6,5.90185,0
52,964.108,1132.08,0.324001,0.324001,6,5.9312,0
53,964.429,1132.12,0.3246,0.3246,6,5.96017,0
53,964.75,1132.17,0.324945,0.324945,6,5.98871,0
53,965.072,1132.21,0.32553,0.325531,6,6.01709,0
53,965.395,1132.26,0.326116,0.326116,6,6.04504,0
53,965.718,1132.3,0.326702,0.326701,6,6.07255,0
53,966.042,1132.35,0.327287,0.327287,6,6.09963,0
54,966.205,1132.37,0.323213,0.32322,6,6.11281,0
54,966.525,1132.42,0.323804,0.323811,6,6.1384,0
54,966.846,1132.47,0.324395,0.324396,6,6.16354,0
54,967.167,1132.52,0.324986,0.324986,6,6.18824,0
54,967.489,1132.57,0.325577,0.325578,6,6.21249,0
55,967.812,1132.62,0.326168,0.326168,6,6.23628,0
55,968.135,1132.67,0.327486,0.327486,6,6.2591,0
55,968.459,1132.72,0.328059,0.328059,6,6.28153,0
55,968.784,1132.77,0.328632,0.328632,6,6.30347,0
55,969.109,1132.82,0.329205,0.329205,6,6.32492,0
55,969.434,1132.88,0.329779,0.329779,6,6.34588,0
56,969.761,1132.93,0.330827,0.330827,6,6.3666,0
56,970.087,1132.98,0.331381,0.33138,6,6.3869,0
56,970.415,1133.04,0.331935,0.331935,6,6.40665,0
56,970.743,1133.1,0.332489,0.332489,6,6.42584,0
56,971.071,1133.15,0.333043,0.333043,6,6.44448,0
56,971.4,1133.21,0.333598,0.333598,6,6.46256,0
57,971.729,1133.27,0.334138,0.334139,6,6.48024,0
57,972.058,1133.32,0.334679,0.334679,6,6.49701,0
57,972.388,1133.38,0.33522,0.33522,6,6.51317,0
57,972.719,1133.44,0.335761,0.335761,6,6.52873,0
57,973.049,1133.5,0.336301,0.336301,6,6.54367,0
57,973.381,1133.57,0.337538,0.337538,6,6.55733,0
58,973.713,1133.63,0.338059,0.338059,6,6.57058,0
58,974.046,1133.69,0.338581,0.338581,6,6.58319,0
58,974.379,1133.76,0.339102,0.339103,6,6.59515,0
58,974.712,1133.82,0.339624,0.339624,6,6.60647,0
58,975.046,1133.89,0.340145,0.340146,6,6.61715,0
59,975.38,1133.95,0.340655,0.340655,6,6.62646,0
59,975.714,1134.02,0.341164,0.341164,6,6.63541,0
59,976.049,1134.09,0.341673,0.341673,6,6.64367,0
59,976.384,1134.16,0.342182,0.342181,6,6.65124,0
59,976.72,1134.23,0.34269,0.34269,6,6.65813,0
59,977.056,1134.3,0.343323,0.343323,6,6.66393,0
60,977.392,1134.37,0.343816,0.343816,6,6.6692,0
60,977.729,1134.44,0.34431,0.34431,6,6.67375,0
60,978.065,1134.52,0.344803,0.344804,6,6.67759,0
60,978.403,1134.59,0.345297,0.345295,6,6.6807,0
60,978.74,1134.67,0.34579,0.345791,6,6.6831,0
60,979.078,1134.74,0.346272,0.346272,6,6.68458,0
61,979.416,1134.82,0.346754,0.346754,6,6.68537,0
61,979.755,1134.9,0.347235,0.347235,6,6.6854,0
61,980.093,1134.98,0.347717,0.347716,6,6.68466,0
61,980.432,1135.06,0.348198,0.348199,6,6.68317,0
61,980.648,1135.11,0.344636,0.344648,6,6.68247,0
61,980.984,1135.18,0.345122,0.345135,6,6.68034,0
62,981.32,1135.26,0.345609,0.345622,6,6.67741,0
62,981.656,1135.35,0.346096,0.346109,6,6.67369,0
62,981.993,1135.43,0.346582,0.346596,6,6.66918,0
62,982.33,1135.51,0.347069,0.347083,6,6.66387,0
62,982.667,1135.59,0.347557,0.347558,6,6.65722,0
62,983.005,1135.68,0.348033,0.348032,6,6.65009,0
63,983.343,1135.77,0.348508,0.348508,6,6.64213,0
63,983.681,1135.85,0.348983,0.348983,6,6.63337,0
63,984.019,1135.94,0.349458,0.349457,6,6.62379,0
63,984.359,1136.03,0.350921,0.350921,6,6.61454,0
63,984.699,1136.12,0.351377,0.351378,6,6.60399,0
64,985.039,1136.21,0.351834,0.351834,6,6.59258,0
64,985.379,1136.3,0.35229,0.352291,6,6.58031,0
64,985.72,1136.39,0.352747,0.352747,6,6.56718,0
64,986.061,1136.48,0.353203,0.353203,6,6.55319,0
64,986.402,1136.57,0.35365,0.35365,6,6.53973,0
64,986.744,1136.67,0.354093,0.354093,6,6.52485,0
65,987.085,1136.76,0.354536,0.354537,6,6.50906,0
65,987.427,1136.86,0.35498,0.354979,6,6.49237,0
65,987.769,1136.95,0.355423,0.355424,6,6.47478,0
65,988.111,1137.05,0.355866,0.355865,6,6.4563,0
65,988.454,1137.15,0.356881,0.356881,6,6.43571,0
65,988.797,1137.25,0.357308,0.357308,6,6.41461,0
66,989.14,1137.35,0.357736,0.357736,6,6.39263,0
66,989.483,1137.45,0.358163,0.358162,6,6.36978,0
66,989.827,1137.56,0.358591,0.358592,6,6.34606,0
66,990.17,1137.66,0.359018,0.359019,6,6.32148,0
66,990.514,1137.77,0.359437,0.359437,6,6.29456,0
66,990.857,1137.87,0.359854,0.359854,6,6.26719,0
66,991.201,1137.98,0.360271,0.360271,6,6.23899,0
67,991.545,1138.09,0.360688,0.360688,6,6.20997,0
67,991.889,1138.2,0.361105,0.361104,6,5.25338,0
67,992.233,1138.31,0.361624,0.361624,6,5.28404,0
67,992.577,1138.42,0.362029,0.362029,6,5.31394,0
67,992.922,1138.54,0.362433,0.362433,6,5.34313,0
67,993.266,1138.65,0.362838,0.362838,6,5.3716,0
68,993.611,1138.77,0.363242,0.363242,6,5.39937,0
68,993.956,1138.88,0.363647,0.363647,6,5.42644,0
